iter	TotalF1:average=Macro	MultiClass
162	0.8240071587	0.469896133
163	0.8240071587	0.4692395262
164	0.8240071587	0.4684404509
165	0.8240071587	0.4671960296
166	0.8240071587	0.4662681484
167	0.8240071587	0.4652187076
168	0.8240071587	0.4645067478
169	0.8240071587	0.4634997635
170	0.8240071587	0.4623328492
171	0.8240071587	0.4614912217
172	0.8240071587	0.4607874978
173	0.8240071587	0.4600522987
174	0.8240071587	0.459201701
175	0.8240071587	0.4585382948
176	0.8240071587	0.4576366856
177	0.8240071587	0.456912755
178	0.8240071587	0.4562429644
179	0.828002092	0.4553697339
180	0.828002092	0.4546859933
181	0.828002092	0.453660111
182	0.828002092	0.4530780744
183	0.8319368892	0.4521699211
184	0.8319368892	0.4511262263
185	0.8319368892	0.4501835013
186	0.8319368892	0.4492212399
187	0.8319368892	0.4486634322
188	0.8319368892	0.4478985774
189	0.8319368892	0.4472091866
190	0.8319368892	0.4464316907
191	0.8319368892	0.4456879684
192	0.8319368892	0.4448426378
193	0.8319368892	0.4440543203
194	0.8319368892	0.4430960811
195	0.8319368892	0.4421019614
196	0.8319368892	0.4414196254
197	0.8319368892	0.4405554608
198	0.8319368892	0.4400817999
199	0.8319368892	0.4391180701
200	0.8319368892	0.4382685897
201	0.8319368892	0.4376040024
202	0.8319368892	0.4366427625
203	0.8319368892	0.4357645841
204	0.8319368892	0.4345344958
205	0.8319368892	0.4338698766
206	0.8319368892	0.4328890366
207	0.8319368892	0.4315834205
208	0.8319368892	0.4307376111
209	0.8319368892	0.4296085884
210	0.8319368892	0.4286809626
211	0.8319368892	0.4279547655
212	0.8358131292	0.4271147022
213	0.8319368892	0.4264259179
214	0.8358131292	0.425756255
215	0.8358131292	0.4249175642
216	0.8358131292	0.4240809804
217	0.8358131292	0.4233255745
218	0.8358131292	0.4224100791
219	0.8358131292	0.4217612294
220	0.8358131292	0.4213201611
221	0.8358131292	0.420592719
222	0.8358131292	0.4199458805
223	0.8358131292	0.4191702998
224	0.8358131292	0.4183723737
225	0.8358131292	0.4174733182
226	0.8358131292	0.4163274406
227	0.8358131292	0.4154960281
228	0.8358131292	0.4148282486
229	0.8358131292	0.4139827904
230	0.8358131292	0.4131859815
231	0.8358131292	0.4126005931
232	0.8358131292	0.4117600509
233	0.8358131292	0.4110901645
234	0.8358131292	0.4103668404
235	0.8358131292	0.4094816711
236	0.8358131292	0.4086998975
237	0.8358131292	0.4079411718
238	0.8358131292	0.4074567851
239	0.8392219657	0.4064789776
240	0.8392219657	0.4058765747
241	0.8392219657	0.4050585056
242	0.8392219657	0.4044169661
243	0.8392219657	0.4037077517
244	0.8392219657	0.4029914505
245	0.8392219657	0.4023030493
246	0.8392219657	0.4016818442
247	0.8392219657	0.401205406
248	0.8392219657	0.4002878037
249	0.8392219657	0.3996612038
250	0.8392219657	0.3989344322
251	0.8392219657	0.3980605632
252	0.8392219657	0.397404978
253	0.8392219657	0.3970001093
254	0.8430424267	0.3963561756
255	0.8430424267	0.3958238099
256	0.8430424267	0.394924499
257	0.8430424267	0.3942500158
258	0.8430424267	0.3936333437
259	0.8430424267	0.3929544553
260	0.8430424267	0.3919584841
261	0.8430424267	0.3912779996
262	0.8430424267	0.3908842717
263	0.8464107333	0.3904395961
264	0.8464107333	0.3898108574
265	0.8464107333	0.3890780525
266	0.850176906	0.3883071644
267	0.8464107333	0.3878592647
268	0.850176906	0.3872796222
269	0.850176906	0.3867327957
270	0.850176906	0.3859976286
271	0.850176906	0.3854435877
272	0.850176906	0.3847234878
273	0.853505633	0.3839831811
274	0.853505633	0.3834504642
275	0.853505633	0.3827280978
276	0.853505633	0.3821051689
277	0.853505633	0.3816526086
278	0.853505633	0.3811105385
279	0.853505633	0.3806772591
280	0.850176906	0.3800378265
281	0.850176906	0.3794736982
282	0.850176906	0.3787753692
283	0.853505633	0.3778817723
284	0.850176906	0.3771872421
285	0.850176906	0.3761494529
286	0.850176906	0.3755553178
287	0.853505633	0.3746373324
288	0.853505633	0.3740512736
289	0.853505633	0.3734946151
290	0.850176906	0.3730119202
291	0.853505633	0.372579407
292	0.853505633	0.3719143728
293	0.850176906	0.3710051341
294	0.853505633	0.3705609054
295	0.853505633	0.3700756249
296	0.853505633	0.3697670653
297	0.853505633	0.3690830694
298	0.8567944251	0.3685893294
299	0.8567944251	0.3677375187
300	0.8567944251	0.3672745836
301	0.8567944251	0.3662876145
302	0.8567944251	0.3654916037
303	0.8567944251	0.364830049
304	0.8567944251	0.36418503
305	0.8567944251	0.3634005431
306	0.8605090312	0.3626946485
307	0.8605090312	0.3622553997
308	0.8605090312	0.3615640616
309	0.8605090312	0.3611017012
310	0.8605090312	0.3603585854
311	0.8605090312	0.3599036947
312	0.8605090312	0.3592192199
313	0.8605090312	0.3587265972
314	0.8605090312	0.3581001888
315	0.8605090312	0.3573148081
316	0.8605090312	0.3566502527
317	0.8641709065	0.3559553394
318	0.8641709065	0.3554797312
319	0.8641709065	0.3549221151
320	0.8641709065	0.3542756915
321	0.8641709065	0.353511922
322	0.8641709065	0.3528804699
323	0.8641709065	0.3524376139
324	0.8641709065	0.3517851889
325	0.8641709065	0.3512502375
326	0.8641709065	0.3507794496
327	0.8641709065	0.3501214383
328	0.8641709065	0.3494129261
329	0.8641709065	0.3486721087
330	0.8641709065	0.3482439368
331	0.8641709065	0.347801017
332	0.8641709065	0.347267119
