iter	TotalF1:average=Macro	MultiClass
94	0.8130133933	0.5574090551
95	0.8053616813	0.5557870266
96	0.8094782013	0.5542631269
97	0.8130133933	0.55213692
98	0.8165038044	0.550587291
99	0.8165038044	0.5491651591
100	0.8165038044	0.5474995888
101	0.8165038044	0.545746935
102	0.8130133933	0.5442513821
103	0.8165038044	0.5429309542
104	0.8165038044	0.5410588476
105	0.8165038044	0.5393135997
106	0.8165038044	0.5378337525
107	0.8165038044	0.5360178289
108	0.8165038044	0.5342260065
109	0.8165038044	0.5326231633
110	0.8165038044	0.5306522577
111	0.8165038044	0.5286538032
112	0.8165038044	0.5272009941
113	0.8165038044	0.5261727177
114	0.8165038044	0.5243140185
115	0.8165038044	0.5226123123
116	0.8165038044	0.5213029614
117	0.8165038044	0.5198774138
118	0.8165038044	0.5186278212
119	0.8165038044	0.5170476427
120	0.8165038044	0.5158529561
121	0.8165038044	0.51452359
122	0.8165038044	0.5125702415
123	0.8165038044	0.5114725664
124	0.8165038044	0.5101869336
125	0.8165038044	0.5090382468
126	0.8165038044	0.5074686984
127	0.8165038044	0.5061158057
128	0.8165038044	0.5049950508
129	0.8165038044	0.504073969
130	0.8165038044	0.5031841709
131	0.8165038044	0.5018248618
132	0.8165038044	0.5005684059
133	0.8165038044	0.4994698688
134	0.8165038044	0.4976927945
135	0.8165038044	0.4964598013
136	0.8165038044	0.4951578244
137	0.8165038044	0.4938530064
138	0.8165038044	0.4924087844
139	0.8165038044	0.4909748413
140	0.8165038044	0.4895502513
141	0.8165038044	0.4884351148
142	0.8165038044	0.4871590267
143	0.8165038044	0.485940622
144	0.8165038044	0.484556637
145	0.8165038044	0.4833490859
146	0.8165038044	0.4822435579
147	0.8165038044	0.4812225916
148	0.8165038044	0.4798850215
149	0.8165038044	0.4788086704
150	0.8165038044	0.4777692851
151	0.8165038044	0.4766338779
152	0.8165038044	0.4753647489
153	0.8165038044	0.4741933974
154	0.8165038044	0.4733639003
155	0.8165038044	0.4721063909
156	0.8165038044	0.4711849261
157	0.8165038044	0.4702896693
158	0.8205592823	0.469099803
159	0.8205592823	0.4681845948
160	0.8205592823	0.4670890904
161	0.8205592823	0.4660707099
162	0.8205592823	0.465118919
163	0.8205592823	0.4643391885
164	0.8205592823	0.4634234377
165	0.8205592823	0.4624097497
166	0.8205592823	0.4613209489
167	0.8205592823	0.4602487157
168	0.8205592823	0.4594651545
169	0.8205592823	0.458397167
170	0.8205592823	0.4574754787
171	0.8205592823	0.4567378216
172	0.8205592823	0.4556933926
173	0.8205592823	0.4550013203
174	0.8205592823	0.4538295219
175	0.8205592823	0.4530378206
176	0.8205592823	0.4520696855
177	0.8205592823	0.4511285886
178	0.8205592823	0.4502884613
179	0.8205592823	0.4492843181
180	0.8205592823	0.4487495582
181	0.8205592823	0.4477476495
182	0.8205592823	0.4470941073
183	0.8205592823	0.4462823588
184	0.8240071587	0.4456633883
185	0.8240071587	0.4449395535
186	0.8240071587	0.4440012018
187	0.8240071587	0.4432099155
188	0.8240071587	0.4423788861
189	0.8240071587	0.4417533715
190	0.8240071587	0.4406714659
191	0.8240071587	0.4398786154
192	0.8240071587	0.4389843801
193	0.8240071587	0.4380190542
194	0.8240071587	0.4368690586
195	0.8240071587	0.4362358827
196	0.8240071587	0.435513644
197	0.8240071587	0.4346690158
198	0.8240071587	0.4337702795
199	0.8240071587	0.4327292343
200	0.8240071587	0.4316888594
201	0.8240071587	0.4308173527
202	0.8240071587	0.4301124158
203	0.8240071587	0.429377887
204	0.8274122693	0.4282992694
205	0.8274122693	0.4276659339
206	0.8274122693	0.4267185802
207	0.8274122693	0.4258503934
208	0.8274122693	0.4248694575
209	0.8274122693	0.4239646241
210	0.8274122693	0.4229858909
211	0.8274122693	0.4222463823
212	0.8274122693	0.4214020733
213	0.8274122693	0.4209940124
214	0.8274122693	0.4200070114
215	0.8274122693	0.4193329113
216	0.8314084394	0.4184000821
217	0.8314084394	0.4177767063
218	0.8314084394	0.4168072305
219	0.8314084394	0.4159686675
220	0.8274122693	0.4153403119
221	0.8314084394	0.4145569741
222	0.8314084394	0.413956295
223	0.8314084394	0.4132740228
224	0.8314084394	0.4124364175
225	0.8314084394	0.4115589094
226	0.8314084394	0.4103203937
227	0.8314084394	0.4093806375
228	0.8314084394	0.4084246647
229	0.828002092	0.4074828974
230	0.828002092	0.4066716278
231	0.828002092	0.4056133446
232	0.828002092	0.4050268389
233	0.828002092	0.4043870232
234	0.8353444785	0.4035427461
235	0.8353444785	0.4028766903
236	0.8392219657	0.4019380514
237	0.8392219657	0.4013143883
